entity,edge
Augustin Maior,Romanian --[http://dbpedia.org/property/alias]--> Augustin Maior
Augustin Maior,Augustin Maior --[http://dbpedia.org/ontology/nationality]--> Romanian
Augustin Maior,Augustin Maior --[http://dbpedia.org/property/candidate]--> Physics
Augustin Maior,Augustin Maior --[http://dbpedia.org/property/origin]--> Physics
Augustin Maior,Augustin Maior --[http://purl.org/dc/terms/subject]--> Physics
Clemens von Pirquet,Eukaryote --[http://dbpedia.org/ontology/wikiPageWikiLink]--> Clemens von Pirquet
Clemens von Pirquet,Animal --[http://dbpedia.org/ontology/wikiPageWikiLink]--> Clemens von Pirquet
Clemens von Pirquet,Person --[http://dbpedia.org/ontology/wikiPageWikiLink]--> Clemens von Pirquet
Clemens von Pirquet,Clemens von Pirquet --[http://www.w3.org/1999/02/22-rdf-syntax-ns#type]--> Animal
Clemens von Pirquet,Species --[http://dbpedia.org/ontology/wikiPageWikiLink]--> Clemens von Pirquet
Basil Balme,Basil Balme --[http://dbpedia.org/property/relatives]--> R.G. Coleman
Basil Balme,R.G. Coleman --[http://dbpedia.org/property/preceded]--> Basil Balme
Basil Balme,W.R. Browne Medal of the Geological Society of Australia --[http://dbpedia.org/property/profession]--> Basil Balme
Basil Balme,Basil Balme --[http://dbpedia.org/property/prizes]--> W.R. Browne Medal of the Geological Society of Australia
Basil Balme,Basil Balme --[http://dbpedia.org/property/wickets]--> Studies in stratigraphic palynology
Oluf Borbye Pedersen,Oluf Borbye Pedersen --[http://dbpedia.org/property/candidate]--> Endocrinology; metabolic medicine; human genomics; microbiome science
Oluf Borbye Pedersen,Endocrinology; metabolic medicine; human genomics; microbiome science --[http://dbpedia.org/property/thesisTitle]--> Oluf Borbye Pedersen
Oluf Borbye Pedersen,Oluf Borbye Pedersen --[http://dbpedia.org/property/origin]--> Endocrinology
Oluf Borbye Pedersen,Endocrinology --[http://schema.org/sameAs]--> Oluf Borbye Pedersen
Oluf Borbye Pedersen,Oluf Borbye Pedersen --[http://dbpedia.org/ontology/weight]--> Order of the Dannebrog
Gustav Schneider,Botany --[http://dbpedia.org/property/thesisTitle]--> Gustav Schneider
Gustav Schneider,Botany --[http://schema.org/sameAs]--> Gustav Schneider
Gustav Schneider,Gustav Schneider --[http://dbpedia.org/property/origin]--> Botany
Gustav Schneider,Gustav Schneider --[http://dbpedia.org/property/candidate]--> Botany
Gustav Schneider,Germany --[http://dbpedia.org/property/alias]--> Gustav Schneider
