k,fidelity_plus,fidelity_minus,sparsity
1,0.02441180406613704,0.711135077290237,0.126361362540238
2,0.01736863947251352,0.7049615136367194,0.21224357033098915
3,0.017169645282139837,0.6941890154953532,0.3160211761275054
4,0.01807143843136572,0.6792168479108848,0.3765660576286775
5,0.02237261621336059,0.6761481910934243,0.39298092129614054
6,0.023072697128710885,0.6701558129160536,0.40020413427997803
7,0.02324119913216415,0.6573376710722457,0.49867649203091174
8,0.021774063488881584,0.6581739013511434,0.5112442096526353
9,0.03845056675561552,0.6405702090406182,0.6853079399261977
10,0.03980875170349327,0.6363255986017146,0.6978756575479211
