feature,mean_abs_shap_rf,mean_abs_shap_lr,rank_rf,rank_lr
emb_12,0.09474442172811133,0.9790798845713276,1,3
emb_9,0.05220811234841646,1.0461314819055771,2,1
emb_11,0.05190022466230877,0.4750437727399779,3,10
emb_4,0.04155387506701176,0.9317790283329727,4,4
emb_0,0.03542489707877433,1.011006254394129,5,2
emb_3,0.033166962114567884,0.407988042644476,6,12
emb_6,0.03264185652130167,0.44206534376940304,7,11
emb_2,0.0285817997406305,0.327203501216527,8,14
emb_1,0.0206155374104959,0.3514088819122563,9,13
emb_14,0.020509358075986504,0.7424375362639036,10,6
emb_13,0.017799059898993264,0.5127444391884663,11,9
emb_15,0.01642444455614824,0.7954391146321587,12,5
emb_5,0.014834661118599785,0.6157712473988863,13,7
emb_8,0.013796970323935311,0.5319461846202456,14,8
emb_10,0.011537635706014621,0.2854931056437332,15,16
emb_7,0.007831941037256863,0.3189873202734585,16,15
