relation_name,score_rf,score_lr,score_combined
wikiPageWikiLink,0.02270815501283765,0.3611744091209479,0.19194128206689276
sameAs,0.011863162284859879,0.23464445722998972,0.1232538097574248
subject,0.003752822154972191,0.07799084693024985,0.04087183454261102
description,0.003881067141116707,0.07063368127613735,0.03725737420862703
label,0.001992371724650134,0.035375931601431015,0.018684151663040573
wikiPageExternalLink,0.0016404644066984491,0.033039262482315965,0.017339863444507206
wikiPageUsesTemplate,0.0014742364429826142,0.02706123217913134,0.014267734311056976
wasDerivedFrom,0.001389667000826722,0.02692559814119244,0.014157632571009581
type,0.0014533837899354004,0.026458972980105435,0.013956178385020418
isPrimaryTopicOf,0.0011554713800408065,0.025069910792095442,0.013112691086068124
birthDate,0.001388425671870257,0.024735234330617858,0.013061830001244057
birthPlace,0.001215160237457896,0.020816952907724395,0.011016056572591146
birthPlace,0.0010199716284677593,0.020449463614105046,0.010734717621286402
termPeriod,0.0011054773690251367,0.019229247131840658,0.010167362250432898
birthDate,0.001082054836127516,0.018220010719395368,0.009651032777761442
name,0.0009864860928074154,0.01772613571699409,0.009356310904900753
name,0.000807139632058556,0.014046007202827896,0.007426573417443226
occupation,0.0005983694725279322,0.010977532472156763,0.005787950972342347
office,0.0005825491386289907,0.010653895870627312,0.005618222504628151
almaMater,0.0005053811462317653,0.00890119496970722,0.004703288057969493
deathDate,0.00045458214939100313,0.00890944817994501,0.004682015164668007
genre,0.0004881366271513092,0.0088119711912433,0.004650053909197305
birthName,0.00043703361238235135,0.008102162378501178,0.004269597995441765
termStart,0.0004206905540767238,0.007565893950832642,0.003993292252454683
thumbnail,0.00032638017443438553,0.007331215090231323,0.003828797632332854
homepage,0.0003744305650053699,0.007178592541130473,0.0037765115530679215
depiction,0.00032925466381070775,0.0070872935741679065,0.0037082741189893072
team,0.00041086900634364047,0.006812372933926708,0.0036116209701351743
careerStation,0.00035310710379846783,0.006640925595998676,0.0034970163498985723
almaMater,0.0003802291204304312,0.006588471633835774,0.0034843503771331027
predecessor,0.00038300054752807836,0.006486824372054595,0.0034349124597913365
knownFor,0.00034884191120917275,0.006478001266486501,0.003413421588847837
givenName,0.00030436309137709056,0.006210426169520309,0.0032573946304486996
deathDate,0.00030580921316296095,0.0061604676118957175,0.0032331384125293392
workplaces,0.0003335216665914032,0.005945457038957604,0.0031394893527745037
hypernym,0.0003135036333646056,0.005831718246804813,0.0030726109400847092
clubs,0.00033384269955723093,0.005705952000819807,0.003019897350188519
spouse,0.00032184398735975183,0.005658611979807467,0.0029902279835836093
sameAs,0.000259915209414871,0.005646704636080239,0.002953309922747555
institution,0.0002863479621721739,0.00523373328408073,0.002760040623126452
caption,0.00023649821951123032,0.005180526728255885,0.0027085124738835576
genre,0.00027715481257024183,0.005123957477377411,0.0027005561449738266
deathPlace,0.000251345320648047,0.005112823658783873,0.00268208448971596
fields,0.0003031684903650304,0.004851715449631283,0.0025774419699981566
education,0.0002778337843666129,0.0048265857237830565,0.002552209754074835
termEnd,0.00023724662972097796,0.004362299636025871,0.0022997731328734243
academicDiscipline,0.0002533064849781318,0.004294768131867429,0.0022740373084227804
years,0.00020822876855631128,0.004146601781242509,0.00217741527489941
label,0.00021126387180344673,0.004140690975823749,0.002175977423813598
activeYearsStartYear,0.00018675526714338465,0.0039081749108867,0.0020474650890150423
party,0.000231199894152039,0.0038451335173578785,0.002038166705754959
yearsActive,0.0001815554665439548,0.003765180667228982,0.0019733680668864682
party,0.00022685591768153242,0.003715873678298188,0.00197136479798986
deathPlace,0.00021096422295367747,0.0037132909340175466,0.001962127578485612
occupation,0.000165076857418074,0.003452097728201857,0.0018085872928099657
knownFor,0.00020334544881454018,0.003408665619683701,0.0018060055342491205
fullname,0.0001759132142130461,0.003156075675966024,0.001665994445089535
title,0.00017151477510357415,0.0029954464981366904,0.0015834806366201322
awards,0.00016768238392702095,0.0029701579550722016,0.0015689201694996113
successor,0.00016617111896174912,0.0028037956122639583,0.0014849833656128536
instrument,0.00014340778980802006,0.0028010663107112376,0.0014722370502596289
doctoralAdvisor,0.00015610468208955976,0.002664165571457858,0.001410135126773709
origin,0.00013124199695281998,0.002651439839442949,0.0013913409181978845
nationality,0.00014278826038475816,0.0025971168630259224,0.0013699525617053402
birthName,0.00012328423602323812,0.0023005930893650363,0.0012119386626941373
education,0.0001232101790431361,0.002253424056548743,0.0011883171177959396
award,0.0001164216479795248,0.0022377327582550777,0.0011770772031173013
field,0.00012812406001480532,0.00217319640042842,0.0011506602302216128
associatedActs,0.00012024239316585743,0.002109734123793205,0.0011149882584795313
position,9.658657613671796e-05,0.001846893759626002,0.00097174016788136
website,9.793244094187244e-05,0.0017653206788423815,0.000931626559892127
workInstitutions,9.871367387338028e-05,0.0017455538263226392,0.0009221337500980097
position,9.253983544668343e-05,0.001689874621067382,0.0008912072282570327
doctoralAdvisor,9.728933219606735e-05,0.0016803501041553425,0.0008888197181757049
alias,9.27274079073344e-05,0.0016584654950523255,0.0008755964514798299
goals,8.042540296740484e-05,0.0016560167525667261,0.0008682210777670654
hometown,7.806850212245528e-05,0.0015589009384231686,0.000818484720272812
recordLabel,7.496869472578237e-05,0.0015269784518415455,0.000800973573283664
termstart,8.122971679439537e-05,0.0014804784513541163,0.0007808540840742559
youthclubs,7.996943914361075e-05,0.0014102614608891787,0.0007451154500163948
caps,6.22107744366179e-05,0.0013533670224932263,0.0007077888984649221
background,5.786030647388417e-05,0.0012497922598228108,0.0006538262831483475
team,6.818088113710608e-05,0.0011924431211067432,0.0006303120011219247
height,6.228909393331519e-05,0.0011639271771591605,0.0006131081355462379
background,5.1298751391224274e-05,0.0011619293375774086,0.0006066140444843165
thesisTitle,6.249524476291542e-05,0.001147648429005489,0.0006050718368842021
nativeName,6.313889121268396e-05,0.0011209601923349547,0.0005920495417738193
currentclub,5.865903461666814e-05,0.001104294454960721,0.0005814767447886946
children,6.336074917555784e-05,0.0010896366143189377,0.0005764986817472478
height,5.924516466530811e-05,0.0010826297768848645,0.0005709374707750863
associatedBand,6.662630039229068e-05,0.0010437756807247043,0.0005552009905584975
height,5.4321642652477814e-05,0.0010139603527272384,0.0005341409976898581
nationality,5.572582879939418e-05,0.0009898095254334929,0.0005227676771164435
associatedMusicalArtist,6.173408808019753e-05,0.0009644824013205776,0.0005131082447003875
instrument,4.654348166002699e-05,0.0009768121689309856,0.0005116778252955063
termend,5.2418573650749195e-05,0.0009693555029420783,0.0005108870382964137
profession,5.147394338932536e-05,0.000935114087981858,0.0004932940156855917
alias,4.930163738575037e-05,0.0009369626933614667,0.0004931321653736085
prizes,5.1455606631175714e-05,0.0009140612500982839,0.00048275842836472977
number,3.8313931609838884e-05,0.000919622532063979,0.0004789682318369089
youthyears,4.6082514014663167e-05,0.000872589679367899,0.0004593360966912811
highSchool,4.813662238375686e-05,0.0008481639651509911,0.000448150293767374
nationalteam,4.6591520204507876e-05,0.0008217557171686836,0.0004341736186865957
constituency,4.61622675220399e-05,0.000778040955026851,0.00041210161127444545
fullName,4.199609308310864e-05,0.0007715657708653038,0.0004067809319742062
thesisYear,4.180749337815218e-05,0.0007562685513336533,0.0003990380223559027
nationalyears,3.912528488481492e-05,0.0007534697958991123,0.00039629754039196364
workInstitution,4.503081106053098e-05,0.0007370569366988899,0.00039104387387971045
doctoralStudents,3.971127133775214e-05,0.0007236594209229371,0.00038168534613034464
weight,3.80310780561869e-05,0.0007225668311965246,0.00038029895462635577
originalName,3.911647118259745e-05,0.0007212167748394615,0.00038016662301102946
college,3.798525038990784e-05,0.0007029310415325542,0.000370458145961231
citizenship,4.2935773478482294e-05,0.0006956936417440729,0.00036931470761127755
heightFt,2.989259016231237e-05,0.000683009223608569,0.0003564509068854407
thesisUrl,3.8519295112582404e-05,0.0006733113396781687,0.00035591531739537555
highschool,3.5269460959407306e-05,0.0006724886971816254,0.0003538790790705164
club,3.6418609159674284e-05,0.0006517912703724576,0.00034410493976606593
occupations,3.272786062460382e-05,0.0006277661595255851,0.00033024701007509444
weight,3.128625984485002e-05,0.0006272730850011207,0.0003292796724229854
succeeded,3.642125153073211e-05,0.0006034810653356562,0.00031995115843319415
heightIn,2.751522199504186e-05,0.0006101413941607473,0.0003188283080778946
votes,2.6795541869481702e-05,0.0006028028230998499,0.0003147991824846658
parents,3.572551033939444e-05,0.0005843323688212267,0.0003100289395803106
clubUpdate,3.408903549073513e-05,0.0005765887961723186,0.0003053389158315268
event,2.982491569983792e-05,0.0005419689688362951,0.0002858969422680665
alongside,3.118634864778874e-05,0.0005093757087903297,0.0002702810287190592
pastMemberOf,2.8090586666600767e-05,0.0005090475233804545,0.00026856905502352764
district,2.81233027924651e-05,0.0005087841389519868,0.00026845372087222594
sport,2.8417238368367965e-05,0.0005000390922143775,0.00026422816529137274
year,2.514190453487601e-05,0.00048062754336500774,0.00025288472394994186
activeYearsEndYear,2.5262361132403112e-05,0.0004698003282072828,0.00024753134466984296
nationalcaps,2.431997201632953e-05,0.0004695317998530751,0.0002469258859347023
nationalgoals,2.2016376260357646e-05,0.0004532565237734738,0.0002376364500169157
residence,2.413612642565704e-05,0.000445695569537358,0.00023491584798150753
residence,2.071617810368262e-05,0.00038562287446467034,0.00020316952628417648
clubnumber,1.6438281260200633e-05,0.00038827768015788636,0.0002023579807090435
otherparty,1.9452652544917535e-05,0.0003768387630256813,0.00019814570778529944
runs,1.696728708025683e-05,0.00037605307913816716,0.00019651018310921198
highschool,2.0105644241279754e-05,0.00036721384635316336,0.00019365974529722156
highlights,1.7527321732247245e-05,0.0003631308038153135,0.00019032906277378036
date,1.938919310412976e-05,0.00035827493355260496,0.00018883206332836737
reppoints,1.6340789304147482e-05,0.000354846966005799,0.00018559387765497323
president,1.9236247578542747e-05,0.00034711361187608856,0.00018317492972731565
weight,1.9107442876597403e-05,0.0003397963821915904,0.0001794519125340939
preceded,1.9416325739645857e-05,0.0003136557902556555,0.00016653605799765066
country,1.7403315514029704e-05,0.00031209149287217343,0.00016474740419310157
repcaps,1.5195569779871716e-05,0.00030959078478899437,0.00016239317728443305
topScore,1.305652250813821e-05,0.0003049625602925214,0.0001590095414003298
1namedata,1.736720299586635e-05,0.00029565704885272536,0.00015651212592429585
number,1.2384194307882398e-05,0.0002975684691807508,0.0001549763317443166
currentMemberOf,1.569793215054935e-05,0.00029200417053080373,0.00015385105134067654
nativeNameLang,1.5926499011556248e-05,0.0002870156005721797,0.00015147104979186798
percentage,1.538257153407586e-05,0.0002868931268711657,0.00015113784920262077
school,1.4324693049405598e-05,0.00028441097548519216,0.00014936783426729887
militaryService,1.7108714524957284e-05,0.00027785530257124034,0.0001474820085480988
repyears,1.3126634760924547e-05,0.00025948520328561794,0.00013630591902327125
profession,1.3130931916464907e-05,0.00025569713189381373,0.00013441403190513933
deliveries,1.0482737794194858e-05,0.00024303871341172688,0.00012676072560296087
before,1.2632114450239117e-05,0.00023785942009115862,0.00012524576727069886
apps,9.316561458224733e-06,0.00023971049046913302,0.00012451352596367887
weightLb,1.3458199525538204e-05,0.0002342516301425009,0.00012385491483401956
batAvg,1.111260096982647e-05,0.00023647127304161236,0.0001237919370057194
matches,1.0545750755378114e-05,0.00023298079807329396,0.00012176327441433603
after,1.2180760096754528e-05,0.00022836632535158799,0.00012027354272417126
school,1.0878499278410351e-05,0.00021974269185580755,0.00011531059556710895
country,1.176890300219071e-05,0.00021004258846434054,0.00011090574573326562
1blankname,1.1574895448332274e-05,0.00020726621025244518,0.00010942055285038873
spouses,1.1616770800970738e-05,0.00020634442216314547,0.0001089805964820581
showMedals,1.0300006472048234e-05,0.00020722705571578874,0.00010876353109391849
citizenship,1.1132320039876854e-05,0.00020582490071689225,0.00010847861037838455
career,1.1444257101861503e-05,0.00020420418516488731,0.0001078242211333744
honorificPrefix,1.1197465132346455e-05,0.00020203295361482325,0.00010661520937358486
collegeyears,1.0152156912028085e-05,0.00019826145715230037,0.00010420680703216423
released,1.055773873176852e-05,0.0001966194746860854,0.00010358860670892697
source,9.757187716266644e-06,0.0001972527561189533,0.00010350497191760998
formerTeam,9.778996956190656e-06,0.000197045586449457,0.00010341229170282382
statvalue,8.049737791154576e-06,0.00019728226038679458,0.00010266599908897458
honorificSuffix,1.1256951803532705e-05,0.0001900152016768578,0.00010063607674019526
points,8.849535663342231e-06,0.00019223037114091075,0.00010053995340212649
serviceyears,1.0442214259658317e-05,0.00018754005064386506,9.899113245176169e-05
currentnumber,8.272052736021228e-06,0.00018526274620475955,9.676739947039039e-05
careerStart,9.307081226219346e-06,0.00018158608716147218,9.544658419384576e-05
college,9.043587113820822e-06,0.0001787809687848281,9.391227794932446e-05
stumpings,7.740774716043806e-06,0.00017892913532795645,9.333495502200013e-05
doctoralStudent,9.543347083124472e-06,0.00017111965323187694,9.03315001575007e-05
updated,9.493744604398802e-06,0.00017115246312043907,9.032310386241893e-05
espn,8.474049185947975e-06,0.0001694058282340634,8.893993871000569e-05
stateHouse,9.678537380044527e-06,0.00016362680431079407,8.66526708454193e-05
espnId,8.047783870555274e-06,0.0001632125586742702,8.563017127241275e-05
committees,8.51941957305738e-06,0.00015108335508817289,7.980138733061514e-05
restingPlace,8.634334353501268e-06,0.00014824215213555297,7.843824324452712e-05
broadIn,6.71513575845591e-06,0.00014938731480038052,7.805122527941821e-05
columns,6.320736720478662e-06,0.00014512062811434406,7.572068241741136e-05
alt,7.158406050988087e-06,0.00014133530127539507,7.424685366319158e-05
nick,7.264285173508582e-06,0.00013977008652919684,7.351718585135271e-05
pcupdate,7.171869650745203e-06,0.0001355065304634397,7.133920005709245e-05
relation,8.079660493709207e-06,0.0001334981312348328,7.0788895864271e-05
broadFt,5.80344958884178e-06,0.00013447168946551123,7.01375695271765e-05
doublestitles,6.022634851584057e-06,0.000132759454916334,6.939104488395903e-05
trainer,7.353202473700794e-06,0.00012987615344028924,6.861467795699502e-05
landscape,6.382984083475751e-06,0.00012958467439117856,6.798382923732715e-05
singlestitles,5.605157849881038e-06,0.0001280194802037774,6.681231902682922e-05
collegegoals,5.1664250450012954e-06,0.00012793628033970055,6.655135269235092e-05
hometown,6.550462152292089e-06,0.00012633104285054666,6.644075250141938e-05
father,7.403322481525529e-06,0.00012530109242845595,6.635220745499073e-05
undraftedYear,5.403756032449173e-06,0.0001269087403348943,6.615624818367174e-05
id,6.735251249117634e-06,0.0001252585230455618,6.599688714733972e-05
wikiPageRedirects,6.88079885960258e-06,0.00012191138501340747,6.439609193650502e-05
wordnet_type,6.773915412758123e-06,0.00012172953985631156,6.425172763453484e-05
undraftedyear,5.5139225262889835e-06,0.0001221351711662384,6.38245468462637e-05
pfr,5.383664543033815e-06,0.00012207441250990052,6.372903852646717e-05
wickets,5.053702628069449e-06,0.00011362000244800159,5.933685253803552e-05
2namedata,6.424368659254122e-06,0.00010888904781424935,5.7656708236751735e-05
researchField,6.022009967818045e-06,0.00010874550163128559,5.738375579955181e-05
draftYear,5.1452967523762145e-06,0.00010825293862802114,5.669911769019868e-05
heightin,4.610899139715416e-06,0.0001062434399373188,5.5427169538517106e-05
relatives,5.996682204853883e-06,0.00010485442829808359,5.542555525146874e-05
specialism,5.839161868125021e-06,0.0001015216504179829,5.368040614305396e-05
discipline,5.905410049181931e-06,0.00010041804475755515,5.316172740336854e-05
careerprizemoney,5.093799858950253e-06,0.00010110714281552398,5.310047133723712e-05
careerPrizeMoney,4.975306638866275e-06,9.968979494101498e-05,5.233255078994063e-05
weightClass,5.301191885639887e-06,9.504356390978072e-05,5.01723778977103e-05
fivefor,4.368749419754139e-06,9.54812752896457e-05,4.992501235469992e-05
tenfor,4.655490551206706e-06,9.440623677795367e-05,4.953086366458018e-05
bench,4.003990444694212e-06,9.354879675162918e-05,4.8776393598161694e-05
pastteams,4.195646771044304e-06,8.659539698555529e-05,4.539552187829979e-05
50s,4.1809039961393816e-06,8.611412410781918e-05,4.514751405197928e-05
extra,4.781938592811221e-06,8.363110505874163e-05,4.420652182577643e-05
bestBowling,4.231955683513702e-06,8.136976262847736e-05,4.280085915599553e-05
dash,4.123727343174475e-06,8.097355909342268e-05,4.254864321829858e-05
heightft,3.4777617340867814e-06,7.719940785170149e-05,4.0338584792894135e-05
lost,3.1071984027474418e-06,7.311631368531021e-05,3.811175604402883e-05
candidate,3.859815935871287e-06,7.172614600556174e-05,3.779298097071651e-05
instruments,4.081801954838247e-06,7.079886228972116e-05,3.7440332122279705e-05
restingPlace,4.056123661369044e-06,7.033413803849144e-05,3.719513084993024e-05
draftYear,3.625101541758263e-06,7.052956209649813e-05,3.7077331819128195e-05
twentySplit,3.4049450619775274e-06,6.913722796631031e-05,3.627108651414392e-05
won,2.8530313564075947e-06,6.728212067713412e-05,3.5067576016770856e-05
collegeteam,3.4303351356515412e-06,6.567389995625948e-05,3.455211754595551e-05
names,3.577699344093054e-06,6.197370587037007e-05,3.277570260723156e-05
url,3.449178957657267e-06,6.112215360626679e-05,3.2285666281962023e-05
nationalteamUpdate,3.150200174800847e-06,6.038643777627923e-05,3.176831897554004e-05
pastschools,2.9246123027974094e-06,6.015495313815383e-05,3.153978272047562e-05
writer,3.601046420720537e-06,5.920985060111963e-05,3.140544851092008e-05
draftRound,2.7263653454472014e-06,5.9933873883933977e-05,3.133011961469059e-05
tracks,3.3873654986411853e-06,5.858051242818346e-05,3.0983938963412324e-05
collegecaps,2.619890888579292e-06,5.9192552146386967e-05,3.090622151748313e-05
armSpan,2.982988768805637e-06,5.7934387198924336e-05,3.0458687983864985e-05
statseason,2.7530779621494287e-06,5.6709102134112896e-05,2.9731090048131163e-05
league,3.308706892862718e-06,5.590243208222026e-05,2.9605569487541487e-05
highestsinglesranking,2.7694305047639354e-06,5.551411036721607e-05,2.9141770435990003e-05
status,2.9232024356574084e-06,5.514904737744987e-05,2.9036124906553638e-05
teamyear,2.927939004926106e-06,5.420798973429804e-05,2.8567964369612073e-05
birthYear,2.8317733199722253e-06,5.405683356571798e-05,2.8444303442845104e-05
authorAbbrevBot,3.0927474695477133e-06,5.181408450258387e-05,2.745341598606579e-05
imageSize,2.7590243165036876e-06,5.132558209717597e-05,2.704230320683983e-05
league,2.9490638465272884e-06,5.0966573283983436e-05,2.6957818565255363e-05
draftPick,2.385366434318131e-06,5.0305812906516807e-05,2.6345589670417468e-05
year1start,2.7235705228228697e-06,4.990340298329105e-05,2.631348675305696e-05
footnotes,2.8040087747517405e-06,4.9523459163505456e-05,2.6163733969128598e-05
decWins,2.2482973280206885e-06,4.9929365186518255e-05,2.608883125726947e-05
spouse,2.783763346653895e-06,4.89708697149883e-05,2.58773165308211e-05
currentsinglesranking,2.3936247354500535e-06,4.913705265911088e-05,2.5765338697280466e-05
battles,2.6197955933171184e-06,4.859260571176135e-05,2.5606200652539236e-05
coneDrill,2.3019833990167536e-06,4.87052255722414e-05,2.550360448562908e-05
monarch,2.607222701350534e-06,4.748313358748457e-05,2.5045178144417554e-05
recruit,2.5713907744490294e-06,4.5723410993359214e-05,2.414740088390412e-05
koWins,2.2092169114644536e-06,4.5496639435420736e-05,2.3852928173442596e-05
order,2.2210362113894528e-06,4.516847381674082e-05,2.3694755014065137e-05
governor,2.6560603570799637e-06,4.406375352194749e-05,2.335990693951373e-05
bowlgames,2.014764587596581e-06,4.465576762979912e-05,2.333526610869785e-05
militaryData,2.546565848171181e-06,4.2852140894856656e-05,2.269935337151392e-05
singlesrecord,1.944006808021001e-06,4.340112924695814e-05,2.267256802748957e-05
nickname,2.2228104082580128e-06,4.293855779411988e-05,2.2580684101188946e-05
pb,2.3764294819621756e-06,4.266983083142835e-05,2.252313015669526e-05
highestdoublesranking,2.1258947899679917e-06,4.195811564783466e-05,2.2042005218901324e-05
coach,2.0297544811389396e-06,4.193626681646724e-05,2.198301064880309e-05
currentdoublesranking,1.8002572254643457e-06,4.209065244260083e-05,2.194545483403259e-05
clubyears,1.979802427125442e-06,4.174089308496122e-05,2.186034775604333e-05
teamhonour,2.00115489977798e-06,4.140224146979037e-05,2.1701698184784175e-05
notableWorks,2.1617182347262315e-06,4.090289528204124e-05,2.1532306758383736e-05
bowlAvg,2.1066628999583397e-06,4.0696969301749045e-05,2.140181610085369e-05
natlteam,1.9336700485399416e-06,3.935399124380313e-05,2.0643830646171538e-05
1y,2.136671222194734e-06,3.869914151670124e-05,2.041790636944799e-05
shuttle,1.8393040289173834e-06,3.876309116455727e-05,2.0301197596737327e-05
debut,1.9734485892962104e-06,3.837063293021756e-05,2.0172040759756887e-05
doublesrecord,1.769842915671126e-06,3.856384635430644e-05,2.016684463498878e-05
ntupdate,2.0057087211668218e-06,3.8264604299472995e-05,2.0135156510319908e-05
stateSenate,1.8806160102097195e-06,3.7277028104090075e-05,1.95788220571499e-05
koLosses,1.6361154148031637e-06,3.7449530503965525e-05,1.9542822959384345e-05
clubupdate,1.936649436566557e-06,3.595736690238163e-05,1.8947008169474093e-05
topic,1.786060294986233e-06,3.5186741792956994e-05,1.8486401043971614e-05
academicAdvisor,1.8740297881303938e-06,3.4838004920039976e-05,1.8356017354085185e-05
decLosses,1.4517213706523748e-06,3.416302779221402e-05,1.7807374581433197e-05
currentTeam,1.5210542360377245e-06,3.3684913339527474e-05,1.76029837877826e-05
2y,1.6975987090839631e-06,3.1906428560520556e-05,1.680201363480226e-05
academicAdvisors,1.6541224097219656e-06,3.192401310724974e-05,1.6789067758485856e-05
plays,1.474633063448528e-06,3.1469113835571814e-05,1.647187344951017e-05
term,1.6556194050045505e-06,3.1285625592454524e-05,1.6470622498729538e-05
tries,1.4479246811113139e-06,3.139245597513881e-05,1.642019032812506e-05
battingSide,1.6850053255334312e-06,3.105043839130517e-05,1.6367721858419303e-05
university,1.5513704758944353e-06,3.0532089794134454e-05,1.6041730135014444e-05
currentposition,1.6239157894839085e-06,2.9960316187750784e-05,1.5792115988617346e-05
